method,sigma_blur,sigma_noise,nfe,n,psnr_mean,psnr_std,ssim_mean,lpips_mean,time_mean
flowdps_rf,1.5000,0.0000,25,50,26.0800,2.7829,0.7389,0.1816,5.9047
flowdps_rf,1.5000,0.0000,50,50,26.0841,2.6810,0.7349,0.1642,11.7267
flowdps_rf,1.5000,0.0000,100,50,26.2261,2.6581,0.7365,0.1533,23.5081
flowdps_rf,1.5000,0.0500,25,50,23.8599,2.0207,0.6159,0.2357,5.8243
flowdps_rf,1.5000,0.0500,50,50,23.5962,1.8969,0.5793,0.2601,11.7435
flowdps_rf,1.5000,0.0500,100,50,23.6466,1.8625,0.5700,0.2676,23.5499
flowdps_rf,3.0000,0.0000,25,50,24.1509,2.4731,0.6740,0.1866,5.8239
flowdps_rf,3.0000,0.0000,50,50,24.0458,2.4193,0.6606,0.1795,11.7074
flowdps_rf,3.0000,0.0000,100,50,24.2580,2.4125,0.6671,0.1697,23.7095
flowdps_rf,3.0000,0.0500,25,50,22.6075,2.0059,0.5996,0.2293,5.9784
flowdps_rf,3.0000,0.0500,50,50,22.4035,1.9859,0.5722,0.2388,12.0517
flowdps_rf,3.0000,0.0500,100,50,22.5805,1.9637,0.5761,0.2339,23.8599
flowdps_rf,5.0000,0.0000,25,50,22.3428,2.2191,0.6078,0.2143,5.8304
flowdps_rf,5.0000,0.0000,50,50,22.2257,2.2735,0.5899,0.2132,12.0591
flowdps_rf,5.0000,0.0000,100,50,22.4815,2.2305,0.6011,0.2002,23.8222
flowdps_rf,5.0000,0.0500,25,50,21.1501,1.8681,0.5559,0.2529,5.8284
flowdps_rf,5.0000,0.0500,50,50,20.9451,1.9231,0.5278,0.2622,11.6698
flowdps_rf,5.0000,0.0500,100,50,21.1349,1.8747,0.5375,0.2511,23.9807
pixel_dps,1.5000,0.0000,25,50,27.5124,2.9284,0.7859,0.1780,4.7412
pixel_dps,1.5000,0.0000,50,50,28.3355,3.0665,0.8104,0.1206,9.4677
pixel_dps,1.5000,0.0000,100,50,28.6141,3.1832,0.8209,0.0837,19.0189
pixel_dps,1.5000,0.0500,25,50,25.9694,2.4528,0.7396,0.1747,4.4696
pixel_dps,1.5000,0.0500,50,50,26.5055,2.5041,0.7311,0.1149,9.0037
pixel_dps,1.5000,0.0500,100,50,26.2062,2.3945,0.6863,0.1355,17.9103
pixel_dps,3.0000,0.0000,25,50,26.0668,2.7182,0.7464,0.1928,4.4722
pixel_dps,3.0000,0.0000,50,50,26.8027,2.8394,0.7649,0.1404,8.9468
pixel_dps,3.0000,0.0000,100,50,27.1525,2.9710,0.7747,0.1168,18.0448
pixel_dps,3.0000,0.0500,25,50,24.8181,2.3444,0.7130,0.2119,4.6219
pixel_dps,3.0000,0.0500,50,50,25.7206,2.5105,0.7308,0.1648,9.0368
pixel_dps,3.0000,0.0500,100,50,26.2459,2.6378,0.7409,0.1463,17.8994
pixel_dps,5.0000,0.0000,25,50,24.7514,2.5183,0.7122,0.2148,4.5571
pixel_dps,5.0000,0.0000,50,50,25.6400,2.6655,0.7327,0.1703,9.1496
pixel_dps,5.0000,0.0000,100,50,26.2105,2.7226,0.7457,0.1554,17.9121
pixel_dps,5.0000,0.0500,25,50,23.6162,2.2339,0.6826,0.2401,4.4824
pixel_dps,5.0000,0.0500,50,50,24.5997,2.3598,0.7050,0.2006,9.1174
pixel_dps,5.0000,0.0500,100,50,25.3314,2.4562,0.7209,0.1904,18.1420
