method,motion_length,motion_angle,sigma_noise,n,psnr_mean,psnr_std,ssim_mean,lpips_mean,time_mean
flowdps_rf,15,0.0000,0.0000,50,23.0402,2.1690,0.6269,0.2033,11.7214
flowdps_rf,15,0.0000,0.0500,50,22.0582,1.9626,0.5618,0.2482,11.6344
flowdps_rf,15,45.0000,0.0000,50,23.2940,2.2611,0.6355,0.1970,11.6315
flowdps_rf,15,45.0000,0.0500,50,22.1698,1.9873,0.5655,0.2438,11.6275
flowdps_rf,25,0.0000,0.0000,50,21.4389,1.8862,0.5738,0.2648,11.8603
flowdps_rf,25,0.0000,0.0500,50,20.8779,1.8061,0.5143,0.3016,11.7045
flowdps_rf,25,45.0000,0.0000,50,21.7682,1.9439,0.5847,0.2505,11.7095
flowdps_rf,25,45.0000,0.0500,50,21.1150,1.8570,0.5201,0.2914,11.6873
flowdps_rf,35,0.0000,0.0000,50,20.0468,1.8288,0.5253,0.3291,11.6833
flowdps_rf,35,0.0000,0.0500,50,19.6516,1.7456,0.4658,0.3608,12.0186
flowdps_rf,35,45.0000,0.0000,50,20.3029,1.8318,0.5309,0.3147,11.6306
flowdps_rf,35,45.0000,0.0500,50,19.9240,1.7739,0.4735,0.3460,11.7759
pixel_dps,15,0.0000,0.0000,50,24.7881,2.3240,0.7217,0.1805,9.0564
pixel_dps,15,0.0000,0.0500,50,24.8586,2.3660,0.7144,0.1799,8.9642
pixel_dps,15,45.0000,0.0000,50,25.2411,2.4679,0.7319,0.1694,9.0635
pixel_dps,15,45.0000,0.0500,50,25.1463,2.4221,0.7208,0.1741,9.1868
pixel_dps,25,0.0000,0.0000,50,21.9566,1.9730,0.6430,0.2602,8.9465
pixel_dps,25,0.0000,0.0500,50,22.3101,2.0563,0.6494,0.2533,8.9641
pixel_dps,25,45.0000,0.0000,50,22.3183,2.0008,0.6507,0.2474,9.0250
pixel_dps,25,45.0000,0.0500,50,22.7040,2.1213,0.6576,0.2432,8.9568
pixel_dps,35,0.0000,0.0000,50,20.4258,1.8933,0.5961,0.3309,9.2311
pixel_dps,35,0.0000,0.0500,50,20.5903,1.9461,0.6007,0.3211,9.1027
pixel_dps,35,45.0000,0.0000,50,20.6176,1.8883,0.5942,0.3152,9.3260
pixel_dps,35,45.0000,0.0500,50,20.8618,1.9766,0.6028,0.3093,9.1256
